MovieName,ReleaseYear,ImdbRating,Metascore,Votes
Ice Age,(2002),7.5,,409090
Treasure Planet,(2002),7.2,,92309
Frida,(2002),7.4,61.0,75456
My Big Fat Greek Wedding,(2002),6.5,62.0,114553
Star Trek: Nemesis,(2002),6.4,,68861
The Sum of All Fears,(2002),6.4,,97784
The Lord of the Rings: The Return of the King,(2003),8.9,94.0,1518032
Kill Bill: Vol. 1,(2003),8.1,69.0,923154
Mystic River,(2003),7.9,84.0,392876
Pirates of the Caribbean: The Curse of the Black Pearl,(2003),8.0,63.0,973157
The Matrix Reloaded,(2003),7.2,62.0,485131
Love Actually,(2003),7.6,,389340
House of 1000 Corpses,(2003),6.1,,70281
Oldeuboi,(2003),8.4,77.0,466872
Finding Nemo,(2003),8.1,90.0,881454
Bad Boys II,(2003),6.6,,209002
The Room,(2003),3.7,,73941
The Dreamers,(2003),7.2,62.0,102241
Secondhand Lions,(2003),7.5,,49000
The Matrix Revolutions,(2003),6.7,,421183
Big Fish,(2003),8.0,,393331
Terminator 3: Rise of the Machines,(2003),6.3,66.0,354261
Lost in Translation,(2003),7.7,89.0,378676
Peter Pan,(2003),6.8,64.0,62305
Freddy vs. Jason,(2003),5.7,,104611
Salinui chueok,(2003),8.1,82.0,104704
The School of Rock,(2003),7.1,82.0,248460
How to Lose a Guy in 10 Days,(2003),6.4,,193841
The Last Samurai,(2003),7.7,,374372
Old School,(2003),7.1,,205387
Master and Commander: The Far Side of the World,(2003),7.4,81.0,191116
X2,(2003),7.4,68.0,487206
2 Fast 2 Furious,(2003),5.9,,235358
Identity,(2003),7.3,64.0,211982
Wrong Turn,(I) (2003),6.1,,102344
Underworld,(2003),7.0,,241631
The Texas Chainsaw Massacre,(2003),6.2,,124176
Monster,(2003),7.3,74.0,126178
Thirteen,(2003),6.8,70.0,76429
The Italian Job,(2003),7.0,68.0,325443
Cold Mountain,(2003),7.2,73.0,133246
Hulk,(2003),5.6,,241765
Freaky Friday,(2003),6.1,70.0,116683
Holes,(2003),7.0,71.0,71139
Charlie's Angels: Full Throttle,(2003),4.9,,114020
Cheaper by the Dozen,(2003),5.8,,88024
The League of Extraordinary Gentlemen,(2003),5.8,,158877
Dogville,(2003),8.0,,127964
Daredevil,(2003),5.3,,199097
Haute tension,(2003),6.8,,63664
Something's Gotta Give,(2003),6.7,66.0,104747
The Rundown,(2003),6.7,,96598
The Cat in the Hat,(2003),3.9,,47100
Bruce Almighty,(2003),6.7,,350101
Gigli,(2003),2.5,,44812
Once Upon a Time in Mexico,(2003),6.4,,146705
Mean Girls,(2004),7.0,66.0,306535
Kill Bill: Vol. 2,(2004),8.0,83.0,629273
Troy,(2004),7.2,,457972
Harry Potter and the Prisoner of Azkaban,(2004),7.9,82.0,498041
The Notebook,(2004),7.8,,482506
The Phantom of the Opera,(2004),7.3,,110704
Eternal Sunshine of the Spotless Mind,(2004),8.3,89.0,837019
Shaun of the Dead,(2004),7.9,76.0,476104
The Day After Tomorrow,(2004),6.4,,391102
Dodgeball: A True Underdog Story,(2004),6.7,,216302
Saw,(2004),7.6,,356112
The Aviator,(2004),7.5,77.0,311770
Van Helsing,(2004),6.1,,231784
The Incredibles,(2004),8.0,90.0,613065
White Chicks,(2004),5.6,,120760
50 First Dates,(2004),6.8,,307620
The Machinist,(2004),7.7,61.0,333121
Ocean's Twelve,(2004),6.5,,335315
Hellboy,(2004),6.8,72.0,293372
Collateral,(2004),7.5,71.0,338636
Napoleon Dynamite,(2004),6.9,64.0,186544
Spider-Man 2,(2004),7.3,83.0,508404
The Village,(2004),6.5,,230046
EuroTrip,(2004),6.6,,184330
Man on Fire,(2004),7.7,,311147
The Girl Next Door,(2004),6.7,,192176
9 Songs,(2004),4.8,,20507
Crash,(I) (2004),7.8,69.0,403240
The Butterfly Effect,(2004),7.6,,426045
Der Untergang,(2004),8.2,82.0,309688
Anchorman: The Legend of Ron Burgundy,(2004),7.2,63.0,311898
Hauru no ugoku shiro,(2004),8.2,80.0,288217
Million Dollar Baby,(2004),8.1,86.0,593219
"I, Robot",(2004),7.1,,469986
The Punisher,(2004),6.4,,143597
The Passion of the Christ,(2004),7.1,,202799
The Terminal,(2004),7.3,,371299
Blade: Trinity,(2004),5.9,,157823
A Series of Unfortunate Events,(2004),6.8,62.0,186392
Layer Cake,(2004),7.3,73.0,155775
Dawn of the Dead,(2004),7.3,,222474
Closer,(I) (2004),7.2,65.0,192251
13 Going on 30,(2004),6.1,,152496
Starsky & Hutch,(2004),6.1,,132859
Shrek 2,(2004),7.2,75.0,388531
National Treasure,(2004),6.8,,287774
Without a Paddle,(2004),5.9,,42190
The Chronicles of Riddick,(2004),6.7,,205739
Sideways,(2004),7.5,94.0,171126
Resident Evil: Apocalypse,(2004),6.2,,177004
Batman Begins,(2005),8.2,70.0,1211607
Pride & Prejudice,(2005),7.8,82.0,233663
Harry Potter and the Goblet of Fire,(2005),7.7,81.0,496937
Charlie and the Chocolate Factory,(2005),6.6,72.0,394947
Walk the Line,(2005),7.8,72.0,215436
Brokeback Mountain,(2005),7.7,87.0,303210
Sin City,(2005),8.0,74.0,719346
Wedding Crashers,(2005),6.9,64.0,317259
V for Vendetta,(2005),8.2,62.0,963298
Star Wars: Episode III - Revenge of the Sith,(2005),7.5,68.0,649372
The Devil's Rejects,(2005),6.8,,86988
Serenity,(2005),7.8,74.0,272458
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",(2005),6.9,75.0,343910
Kingdom of Heaven,(2005),7.2,63.0,252746
The Island,(2005),6.8,,289890
Constantine,(2005),7.0,,283382
Mr. & Mrs. Smith,(2005),6.5,,422546
War of the Worlds,(2005),6.5,73.0,391875
The Longest Yard,(2005),6.4,,152300
The Descent,(2005),7.2,71.0,187085
Hostel,(2005),5.9,,160650
The 40 Year Old Virgin,(2005),7.1,73.0,369538
Brick,(2005),7.3,72.0,95644
King Kong,(2005),7.2,81.0,371128
Match Point,(2005),7.6,72.0,193423
Elizabethtown,(2005),6.4,,64734
Hitch,(I) (2005),6.6,,280734
Munich,(2005),7.5,74.0,200404
Fantastic Four,(I) (2005),5.7,,299652
Be Cool,(2005),5.6,,65126
The Hitchhiker's Guide to the Galaxy,(2005),6.7,63.0,178943
Sky High,(2005),6.1,62.0,73123
The Amityville Horror,(2005),6.0,,100198
Nanny McPhee,(2005),6.5,,62562
The Dukes of Hazzard,(2005),5.1,,72950
Sahara,(2005),6.0,,87527
Madagascar,(2005),6.9,,338102
House of Wax,(2005),5.3,,109180
Coach Carter,(2005),7.3,,113969
Four Brothers,(2005),6.8,,126466
Hustle & Flow,(2005),7.3,68.0,37019
Just Friends,(I) (2005),6.2,,98754
A History of Violence,(2005),7.4,81.0,212789
The Brothers Grimm,(2005),5.9,,111438
Corpse Bride,(2005),7.3,83.0,226045
Kiss Kiss Bang Bang,(2005),7.5,72.0,204312
North Country,(2005),7.3,68.0,37512
The Sisterhood of the Traveling Pants,(2005),6.5,66.0,51509
Into the Blue,(2005),5.8,,70746
Red Eye,(2005),6.4,71.0,106381
300,(2006),7.7,,698878
The Departed,(2006),8.5,85.0,1092995
The Prestige,(2006),8.5,66.0,1083641
United 93,(2006),7.5,90.0,93604
The Devil Wears Prada,(2006),6.9,62.0,344560
World Trade Center,(2006),5.9,66.0,74730
Pan's Labyrinth,(2006),8.2,98.0,579379
Pirates of the Caribbean: Dead Man's Chest,(2006),7.3,,619551
X-Men: The Last Stand,(2006),6.7,,459229
Casino Royale,(2006),8.0,80.0,544715
Apocalypto,(2006),7.8,68.0,273210
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,(2006),7.3,89.0,335411
Idiocracy,(2006),6.6,66.0,134186
Marie Antoinette,(2006),6.4,65.0,94096
The Fast and the Furious: Tokyo Drift,(2006),6.0,,223332
Cars,(2006),7.1,73.0,336169
Poseidon,(2006),5.6,,93104
The Lake House,(2006),6.8,,131733
The Lives of Others,(2006),8.4,89.0,328317
The Pursuit of Happyness,(2006),8.0,64.0,411328
Little Miss Sunshine,(2006),7.8,80.0,413929
The Da Vinci Code,(2006),6.6,,376494
Inside Man,(2006),7.6,76.0,316765
Silent Hill,(2006),6.5,,204371
Children of Men,(2006),7.9,84.0,433955
The Hills Have Eyes,(2006),6.4,,150455
Black Christmas,(2006),4.5,,23206
Mission: Impossible III,(2006),6.9,66.0,310436
Black Snake Moan,(2006),6.9,,58791
Little Children,(2006),7.5,75.0,101411
Stranger Than Fiction,(2006),7.6,67.0,209009
Blood Diamond,(2006),8.0,64.0,467966
Open Season,(2006),6.1,,80061
Step Up,(2006),6.5,,105293
Talladega Nights: The Ballad of Ricky Bobby,(2006),6.6,66.0,156225
Superman Returns,(2006),6.0,72.0,262000
Babel,(I) (2006),7.4,69.0,275572
Smokin' Aces,(2006),6.7,,132341
The Holiday,(2006),6.9,,222868
Deja Vu,(2006),7.0,,278854
ATL,(2006),6.1,63.0,10348
Night at the Museum,(2006),6.4,,291185
Failure to Launch,(2006),5.6,,68122
Perfume: The Story of a Murderer,(2006),7.5,,221952
Rocky Balboa,(2006),7.1,63.0,192826
Gwoemul,(2006),7.0,85.0,86968
She's the Man,(2006),6.3,,138472
Invincible,(2006),7.1,63.0,61508
The Fountain,(2006),7.2,,218038
John Tucker Must Die,(2006),5.7,,76119
Superbad,(2007),7.6,76.0,489523
Zodiac,(2007),7.7,78.0,401659
No Country for Old Men,(2007),8.1,91.0,778742
Into the Wild,(2007),8.1,73.0,530865
Death Proof,(2007),7.0,,250512
Spider-Man 3,(2007),6.2,,468251
Ratatouille,(2007),8.0,96.0,589890
There Will Be Blood,(2007),8.1,93.0,470522
Hot Fuzz,(2007),7.8,81.0,431640
Pirates of the Caribbean: At World's End,(2007),7.1,,562790
Atonement,(2007),7.8,85.0,230985
Harry Potter and the Order of the Phoenix,(2007),7.5,71.0,461657
Stardust,(2007),7.6,66.0,240879
Transformers,(2007),7.0,61.0,573728
Juno,(2007),7.4,81.0,469686
The Mist,(2007),7.1,,264000
Charlie Wilson's War,(2007),7.0,69.0,101688
The Assassination of Jesse James by the Coward Robert Ford,(2007),7.5,68.0,158526
American Gangster,(2007),7.8,76.0,370858
Shooter,(I) (2007),7.2,,294632
Knocked Up,(2007),6.9,85.0,334902
Enchanted,(2007),7.0,75.0,166982
I Am Legend,(2007),7.2,65.0,641970
Gone Baby Gone,(2007),7.6,72.0,236640
The Girl Next Door,(2007),6.6,,21761
Grindhouse,(2007),7.5,77.0,171602
Ocean's Thirteen,(2007),6.9,62.0,300721
Sweeney Todd: The Demon Barber of Fleet Street,(2007),7.3,83.0,325564
The Golden Compass,(2007),6.1,,169191
Fracture,(2007),7.2,68.0,171637
Halloween,(2007),6.1,,103401
Hostel: Part II,(2007),5.5,,81209
Hairspray,(2007),6.6,81.0,114122
Across the Universe,(2007),7.3,,102285
Death at a Funeral,(2007),7.4,67.0,103383
Good Luck Chuck,(2007),5.6,,82140
Planet Terror,(2007),7.1,,191056
Wild Hogs,(2007),5.8,,109989
Eastern Promises,(2007),7.6,82.0,216293
Sunshine,(2007),7.2,64.0,222166
Next,(2007),6.2,,141416
Funny Games,(2007),6.5,,84629
The Bourne Ultimatum,(2007),8.0,85.0,583181
Hot Rod,(2007),6.7,,70452
Beowulf,(2007),6.2,,156043
3:10 to Yuma,(2007),7.7,76.0,272608
P.S. I Love You,(2007),7.0,,192786
Live Free or Die Hard,(2007),7.1,69.0,373885
28 Weeks Later,(2007),7.0,78.0,244035
We Own the Night,(2007),6.8,,80636
The Dark Knight,(2008),9.0,84.0,2099084
You Don't Mess with the Zohan,(2008),5.5,,179657
Twilight,(I) (2008),5.2,,398760
Iron Man,(2008),7.9,79.0,879972
