MovieName,ReleaseYear,ImdbRating,Metascore,Votes
The Perks of Being a Wallflower,(2012),8.0,67.0,427324
Argo,(2012),7.7,86.0,540432
Snow White and the Huntsman,(2012),6.1,,261234
The Amazing Spider-Man,(2012),6.9,66.0,532223
Jack Reacher,(2012),7.0,,288095
Dark Shadows,(2012),6.2,,232811
Lawless,(2012),7.3,,215946
Battleship,(2012),5.8,,226870
Magic Mike,(2012),6.1,72.0,125035
Anna Karenina,(I) (2012),6.6,63.0,85743
Jagten,(2012),8.3,77.0,247408
Dredd,(2012),7.1,,237258
Lincoln,(2012),7.3,86.0,231153
Moonrise Kingdom,(2012),7.8,84.0,295285
The Place Beyond the Pines,(2012),7.3,68.0,229512
The Dictator,(2012),6.4,,254103
Brave,(2012),7.1,69.0,344323
That's My Boy,(2012),5.5,,84386
Seven Psychopaths,(2012),7.2,66.0,226074
Wreck-It Ralph,(2012),7.7,72.0,351626
American Reunion,(2012),6.7,,193839
Safe House,(2012),6.7,,194533
Life of Pi,(2012),7.9,79.0,543115
End of Watch,(2012),7.6,68.0,213792
The Watch,(I) (2012),5.7,,116777
Total Recall,(I) (2012),6.3,,230400
Ted,(2012),6.9,62.0,543474
Savages,(2012),6.5,,116561
The Wolf of Wall Street,(2013),8.2,75.0,1056511
Her,(2013),8.0,90.0,477252
Olympus Has Fallen,(2013),6.5,,239983
Prisoners,(2013),8.1,74.0,536797
The Conjuring,(2013),7.5,68.0,406317
The Great Gatsby,(2013),7.3,,440105
Snowpiercer,(2013),7.1,84.0,246499
About Time,(I) (2013),7.8,,270540
Frozen,(I) (2013),7.5,74.0,524270
Grown Ups 2,(2013),5.4,,130768
Mama,(I) (2013),6.2,,160929
La vie d'Adèle,(2013),7.8,88.0,126594
World War Z,(2013),7.0,63.0,560793
Under the Skin,(I) (2013),6.3,78.0,115319
Nymphomaniac: Vol. I,(2013),6.9,64.0,108527
Iron Man Three,(2013),7.2,62.0,705423
American Hustle,(2013),7.2,90.0,422464
12 Years a Slave,(2013),8.1,96.0,585917
Man of Steel,(2013),7.1,,654722
Now You See Me,(I) (2013),7.3,,559441
The Hunger Games: Catching Fire,(2013),7.5,76.0,581225
The Hobbit: The Desolation of Smaug,(2013),7.8,66.0,570804
The Wolverine,(2013),6.7,61.0,406916
The World's End,(2013),7.0,81.0,239997
Oblivion,(I) (2013),7.0,,459261
The Secret Life of Walter Mitty,(2013),7.3,,278101
Furious 6,(2013),7.1,61.0,350822
The Green Inferno,(2013),5.3,,34131
Hansel & Gretel: Witch Hunters,(2013),6.1,,185487
Thor: The Dark World,(2013),6.9,,552130
We're the Millers,(2013),7.0,,376224
Oz the Great and Powerful,(2013),6.3,,193246
Star Trek Into Darkness,(2013),7.7,72.0,448335
Dallas Buyers Club,(2013),8.0,84.0,407422
Enemy,(2013),6.9,61.0,147080
Movie 43,(2013),4.3,,94183
Gravity,(2013),7.7,96.0,719953
Rush,(I) (2013),8.1,75.0,399017
This Is the End,(2013),6.6,67.0,364572
Gangster Squad,(2013),6.7,,197243
Evil Dead,(2013),6.5,,147898
Lovelace,(2013),6.2,,36358
Saving Mr. Banks,(2013),7.5,65.0,142634
White House Down,(2013),6.4,,194388
Lone Survivor,(2013),7.5,,249680
Carrie,(2013),5.9,,126727
Pacific Rim,(2013),6.9,65.0,447681
Don Jon,(2013),6.5,66.0,218148
The Purge,(I) (2013),5.7,,186820
Captain Phillips,(2013),7.8,83.0,392153
Interstellar,(2014),8.6,74.0,1328514
John Wick,(2014),7.4,68.0,474924
Gone Girl,(2014),8.1,79.0,775663
Kingsman: The Secret Service,(2014),7.7,,552457
Guardians of the Galaxy,(2014),8.1,76.0,970085
Maleficent,(2014),7.0,,310642
Whiplash,(2014),8.5,88.0,631564
X-Men: Days of Future Past,(2014),8.0,75.0,628912
The Grand Budapest Hotel,(2014),8.1,88.0,643721
Godzilla,(2014),6.4,62.0,357466
Edge of Tomorrow,(2014),7.9,71.0,554760
Ex Machina,(2014),7.7,78.0,432368
The Equalizer,(2014),7.2,,307476
What We Do in the Shadows,(2014),7.7,76.0,130550
Captain America: The Winter Soldier,(2014),7.8,70.0,680467
Divergent,(2014),6.7,,403626
Birdman or (The Unexpected Virtue of Ignorance),(2014),7.7,87.0,528433
Fury,(2014),7.6,64.0,388421
The Imitation Game,(2014),8.0,73.0,629940
Lucy,(I) (2014),6.4,61.0,408449
American Sniper,(2014),7.3,72.0,407188
Nightcrawler,(2014),7.9,76.0,413629
It Follows,(2014),6.8,83.0,187374
Inherent Vice,(2014),6.7,81.0,85040
Tusk,(2014),5.3,,41619
300: Rise of an Empire,(2014),6.2,,266182
The Hobbit: The Battle of the Five Armies,(2014),7.4,,443951
Veronica Mars,(2014),6.8,62.0,48002
Transformers: Age of Extinction,(2014),5.6,,286173
The Babadook,(2014),6.8,86.0,175828
Unbroken,(I) (2014),7.2,,131843
"Love, Rosie",(2014),7.2,,107914
The Fault in Our Stars,(2014),7.7,69.0,320284
Chef,(2014),7.3,68.0,177915
The Theory of Everything,(2014),7.7,72.0,367206
Into the Woods,(2014),5.9,69.0,124964
Predestination,(I) (2014),7.5,69.0,229272
The Giver,(2014),6.5,,106213
The Other Woman,(2014),6.0,,124169
The Expendables 3,(2014),6.1,,158552
The Maze Runner,(2014),6.8,,391832
Annabelle,(I) (2014),5.4,,127382
The Judge,(2014),7.4,,165236
Boyhood,(I) (2014),7.9,100.0,318614
The Hunger Games: Mockingjay - Part 1,(2014),6.6,64.0,384543
The Amazing Spider-Man 2,(2014),6.6,,394050
Noah,(2014),5.8,68.0,231394
Sin City: A Dame to Kill For,(2014),6.5,,142807
Wild,(I) (2014),7.1,76.0,111690
Big Hero 6,(2014),7.8,74.0,378347
Mad Max: Fury Road,(2015),8.1,90.0,795019
The Hateful Eight,(2015),7.8,68.0,455477
Love,(II) (2015),6.1,,38474
The VVitch: A New-England Folktale,(2015),6.8,83.0,160642
Fifty Shades of Grey,(2015),4.1,,282292
The Big Short,(2015),7.8,81.0,316577
The Revenant,(2015),8.0,76.0,634642
Avengers: Age of Ultron,(2015),7.3,66.0,681506
Room,(I) (2015),8.2,86.0,324787
The Martian,(2015),8.0,80.0,693482
Star Wars: Episode VII - The Force Awakens,(2015),8.0,81.0,794127
Furious Seven,(2015),7.2,67.0,339727
Pitch Perfect 2,(2015),6.4,63.0,132682
Self/less,(2015),6.5,,82329
Sicario,(2015),7.6,82.0,334887
Spectre,(I) (2015),6.8,,356850
Cinderella,(I) (2015),6.9,67.0,146236
Terminator Genisys,(2015),6.4,,237944
Jurassic World,(2015),7.0,,546425
Knock Knock,(I) (2015),4.9,,70317
Mission: Impossible - Rogue Nation,(2015),7.4,75.0,317163
Jupiter Ascending,(2015),5.3,,168956
Spotlight,(I) (2015),8.1,93.0,373407
Legend,(I) (2015),6.9,,141900
Tomorrowland,(2015),6.4,,163085
Spy,(2015),7.0,75.0,216410
The Lobster,(2015),7.1,82.0,188003
The Man from U.N.C.L.E.,(2015),7.3,,244585
The Invitation,(I) (2015),6.6,74.0,73577
Ant-Man,(2015),7.3,64.0,515943
Inside Out,(I) (2015),8.2,94.0,548758
Pan,(2015),5.7,,56518
Crimson Peak,(2015),6.5,66.0,120840
The Ridiculous 6,(2015),4.8,,39681
The Intern,(I) (2015),7.1,,194886
Bone Tomahawk,(2015),7.1,72.0,73301
Everest,(2015),7.1,64.0,183357
The Age of Adaline,(2015),7.2,,141556
In the Heart of the Sea,(2015),6.9,,110438
The Hunger Games: Mockingjay - Part 2,(2015),6.5,65.0,257927
Creed,(II) (2015),7.6,82.0,228932
Youth,(I) (2015),7.3,64.0,65506
Carol,(2015),7.2,95.0,102853
Brooklyn,(2015),7.5,88.0,119099
The Danish Girl,(2015),7.1,66.0,149309
Bite,(I) (2015),4.9,,3734
San Andreas,(2015),6.0,,195972
Trainwreck,(2015),6.2,75.0,123084
True Story,(I) (2015),6.3,,55095
February,(I) (2015),5.9,68.0,14282
Suicide Squad,(2016),6.0,,544874
Split,(IX) (2016),7.3,62.0,372357
X-Men: Apocalypse,(2016),6.9,,365666
Sing,(2016),7.1,,119428
Hacksaw Ridge,(2016),8.1,71.0,377108
London Has Fallen,(2016),5.9,,129259
Deadpool,(2016),8.0,65.0,837112
Captain America: Civil War,(2016),7.8,75.0,600455
Fantastic Beasts and Where to Find Them,(2016),7.3,66.0,373073
Me Before You,(2016),7.4,,180628
The Accountant,(2016),7.3,,237544
Rogue One,(2016),7.8,65.0,488217
La La Land,(I) (2016),8.0,93.0,446397
Doctor Strange,(2016),7.5,72.0,532667
Arrival,(II) (2016),7.9,81.0,528678
Kimi no na wa.,(2016),8.4,79.0,142979
Batman v Superman: Dawn of Justice,(2016),6.5,,584926
Moonlight,(I) (2016),7.4,99.0,234663
War Dogs,(2016),7.1,,157947
Nocturnal Animals,(2016),7.5,67.0,210775
Moana,(I) (2016),7.6,81.0,231707
Mike and Dave Need Wedding Dates,(2016),6.0,,76453
The Nice Guys,(2016),7.4,70.0,246397
Ah-ga-ssi,(2016),8.1,84.0,83404
The Secret Life of Pets,(2016),6.5,61.0,168001
Don't Breathe,(2016),7.1,71.0,192404
The Lost City of Z,(2016),6.6,78.0,68234
Contratiempo,(2016),8.1,,90357
Captain Fantastic,(2016),7.9,72.0,164191
31,(2016),5.1,,15686
Bad Moms,(2016),6.2,,103275
The Legend of Tarzan,(2016),6.2,,152616
Hush,(I) (2016),6.6,67.0,82878
Morgan,(2016),5.8,,36177
Independence Day: Resurgence,(2016),5.2,,157313
13 Hours,(2016),7.3,,105794
"Hail, Caesar!",(2016),6.3,72.0,113179
Passengers,(I) (2016),7.0,,317278
Ghostbusters,(2016),5.2,,190071
Star Trek Beyond,(2016),7.1,68.0,212796
Warcraft,(2016),6.8,,228499
Hidden Figures,(2016),7.8,74.0,175632
The Bad Batch,(2016),5.3,62.0,21792
Below Her Mouth,(2016),5.5,,8088
The Girl on the Train,(I) (2016),6.5,,154650
The Jungle Book,(2016),7.4,77.0,244503
The Great Wall,(I) (2016),5.9,,114055
The Neon Demon,(2016),6.2,,74535
The Conjuring 2,(2016),7.3,65.0,201105
Dangal,(2016),8.4,,128472
It,(I) (2017),7.4,69.0,387761
Blade Runner 2049,(2017),8.0,81.0,391003
The Current War,(2017),6.3,,2845
Thor: Ragnarok,(2017),7.9,74.0,507879
Mother!,(2017),6.6,75.0,163567
Star Wars: Episode VIII - The Last Jedi,(2017),7.1,85.0,474979
Baywatch,(2017),5.5,,142935
The Greatest Showman,(2017),7.6,,205644
Spider-Man: Homecoming,(2017),7.4,73.0,451346
Get Out,(I) (2017),7.7,84.0,419377
Valerian and the City of a Thousand Planets,(2017),6.5,,144285
John Wick: Chapter 2,(2017),7.5,75.0,311627
Pirates of the Caribbean: Dead Men Tell No Tales,(2017),6.6,,234569
Baby Driver,(2017),7.6,86.0,379901
Call Me by Your Name,(2017),7.9,93.0,161282
Justice League,(2017),6.4,,339134
Geostorm,(2017),5.3,,81724
Dunkirk,(2017),7.9,94.0,480065
Kingsman: The Golden Circle,(2017),6.8,,238405
Logan,(2017),8.1,77.0,576344
The Dark Tower,(2017),5.6,,113590
Jumanji: Welcome to the Jungle,(2017),6.9,,252251
The Shape of Water,(2017),7.3,87.0,319657
Wonder Woman,(2017),7.4,76.0,500175
Gerald's Game,(2017),6.6,77.0,69633
"Three Billboards Outside Ebbing, Missouri",(2017),8.2,88.0,358753
Ghost in the Shell,(2017),6.3,,180734
First Kill,(2017),4.9,,8307
Wind River,(2017),7.7,73.0,175150
Wonder,(I) (2017),8.0,66.0,115979
Guardians of the Galaxy Vol. 2,(2017),7.6,67.0,502686
Coco,(I) (2017),8.4,81.0,294322
68 Kill,(2017),6.0,,3740
You Were Never Really Here,(2017),6.8,84.0,75955
Good Time,(2017),7.3,80.0,55359
Kong: Skull Island,(2017),6.6,62.0,244738
Power Rangers,(2017),5.9,,94761
The Fate of the Furious,(2017),6.7,,185774
Beauty and the Beast,(2017),7.2,65.0,244878
The Upside,(2017),6.8,,31808
Molly's Game,(2017),7.5,71.0,109325
The Babysitter,(I) (2017),6.3,,49014
Transformers: The Last Knight,(2017),5.2,,122429
Pitch Perfect 3,(2017),5.8,,47139
Lady Bird,(2017),7.4,94.0,185097
Alien: Covenant,(2017),6.4,65.0,231964
Downsizing,(2017),5.7,63.0,80238
American Assassin,(2017),6.2,,59797
Unforgettable,(II) (2017),5.1,,11877
King Arthur: Legend of the Sword,(2017),6.8,,172827
Mary Queen of Scots,(2018),6.3,,27389
Aquaman,(2018),7.0,,295708
Nomis,(2018),5.7,,4091
A Simple Favor,(2018),6.8,67.0,95483
Spider-Man: Into the Spider-Verse,(2018),8.4,87.0,257306
Fantastic Beasts: The Crimes of Grindelwald,(2018),6.6,,178104
Freaks,(2018),6.8,63.0,786
Bohemian Rhapsody,(2018),8.0,,377831
Avengers: Infinity War,(2018),8.5,68.0,706803
Bad Times at the El Royale,(2018),7.1,,100746
Deadpool 2,(2018),7.7,66.0,413995
Mission: Impossible - Fallout,(2018),7.8,86.0,246770
The Favourite,(2018),7.6,90.0,129851
Hereditary,(2018),7.3,87.0,170354
The Mule,(2018),7.0,,73271
Mortal Engines,(2018),6.1,,80085
Green Book,(2018),8.2,69.0,239687
A Star Is Born,(2018),7.7,88.0,273787
A Quiet Place,(2018),7.5,82.0,322767
The Predator,(2018),5.4,,101018
Crazy Rich Asians,(2018),6.9,74.0,107675
Holmes & Watson,(2018),3.8,,21599
The Happytime Murders,(2018),5.4,,19465
Black Panther,(2018),7.3,88.0,539948
Robin Hood,(2018),5.3,,48454
The Death and Life of John F. Donovan,(2018),6.2,,1746
Venom,(2018),6.7,,302481
Mary Poppins Returns,(2018),6.8,66.0,60556
Hex,(I) (2018),5.3,,1840
Hotel Mumbai,(2018),7.6,64.0,28939
Ready Player One,(2018),7.5,64.0,314939
First Man,(2018),7.3,84.0,133899
BlacKkKlansman,(2018),7.5,83.0,162906
Solo: A Star Wars Story,(2018),7.0,62.0,236408
Vice,(I) (2018),7.2,61.0,85838
Annihilation,(2018),6.9,79.0,238498
Jurassic World: Fallen Kingdom,(2018),6.2,,228765
Suspiria,(I) (2018),6.8,64.0,43414
High Life,(2018),5.9,77.0,15313
Halloween,(I) (2018),6.6,67.0,95900
Ocean's Eight,(2018),6.2,61.0,152663
Hunter Killer,(2018),6.6,,39262
Widows,(2018),6.9,84.0,69188
Can You Ever Forgive Me?,(2018),7.1,87.0,34504
Bumblebee,(2018),6.8,66.0,105250
Climax,(I) (2018),7.2,67.0,30168
Peppermint,(2018),6.5,,40089
Red Sparrow,(2018),6.6,,142598
Ralph Breaks the Internet,(2018),7.1,71.0,100652
Dragged Across Concrete,(2018),7.0,,21837
It Chapter Two,(2019),7.0,,61862
Joker,(I) (2019),9.5,70.0,13385
Hustlers,(2019),6.6,79.0,4800
Once Upon a Time... in Hollywood,(2019),8.0,83.0,186834
Doctor Sleep,(2019),0.0,,0
Downton Abbey,(2019),7.8,,1982
The Goldfinch,(2019),6.3,,1277
Ad Astra,(2019),7.7,81.0,1081
Anna,(II) (2019),6.6,,14222
Avengers: Endgame,(2019),8.6,78.0,556039
Spider-Man: Far from Home,(2019),7.8,69.0,172444
Ready or Not,(I) (2019),7.2,63.0,12963
Dark Phoenix,(2019),5.9,,83741
Rambo: Last Blood,(2019),0.0,,0
Midway,(2019),0.0,,0
John Wick: Chapter 3 - Parabellum,(2019),7.7,73.0,160739
Aladdin,(2019),7.1,,128836
Angel Has Fallen,(2019),6.7,,14217
Star Wars: The Rise of Skywalker,(2019),0.0,,0
Yesterday,(III) (2019),7.0,,36805
Terminator: Dark Fate,(2019),0.0,,0
Jojo Rabbit,(2019),7.3,,437
The Dead Don't Die,(2019),5.6,,21000
The Fanatic,(2019),3.8,,1311
Child's Play,(2019),6.1,,17330
Chhichhore,(2019),8.7,,5474
Men in Black: International,(2019),5.6,,58526
Good Boys,(II) (2019),6.9,,13146
Rocketman,(2019),7.5,69.0,64883
Fast & Furious Presents: Hobbs & Shaw,(2019),6.8,,64140
Knives Out,(2019),0.0,,0
Midsommar,(I) (2019),7.6,72.0,36739
Late Night,(2019),6.6,71.0,8131
The Lion King,(2019),7.1,,99742
Uncut Gems,(2019),8.3,88.0,333
Booksmart,(2019),7.3,84.0,37362
Gisaengchung,(2019),8.5,91.0,28318
The Peanut Butter Falcon,(2019),8.0,69.0,4592
The Lighthouse,(2019),7.9,89.0,1092
Godzilla: King of the Monsters,(2019),6.2,,84547
Tall Girl,(2019),5.5,,2763
Charlie's Angels,(2019),0.0,,0
Black Christmas,(2019),0.0,,0
The Painted Bird,(2019),7.2,75.0,225
Last Christmas,(2019),0.0,,0
Falling Inn Love,(2019),5.6,,6655
Alita: Battle Angel,(2019),7.4,,158042
Blinded by the Light,(2019),7.0,71.0,6448
Ma,(I) (2019),5.7,,17890
Scary Stories to Tell in the Dark,(2019),6.4,61.0,16627
